RemainingCapacityPercent,Voltage,ChargeCycles,AgeMonths,TemperatureC,Brand,CapacityMah,PhysicalConditionScore,Status
98,52.5,150,6,28,Tesla,75000,10,Good
96,51.8,200,9,27,BYD,60000,9.5,Good
95,52.2,250,12,29,LG,65000,9.5,Good
94,51.5,280,12,30,Panasonic,70000,9,Good
92,52.0,320,15,28,CATL,68000,9,Good
90,51.2,350,18,31,Samsung,62000,8.5,Good
88,50.8,400,18,29,Tesla,75000,8.5,Good
87,51.5,420,21,30,BYD,58000,8,Good
85,50.5,450,24,32,LG,64000,8,Good
83,50.2,480,24,31,Panasonic,72000,8,Good
82,51.0,500,27,33,CATL,66000,7.5,Good
80,49.8,520,30,34,Samsung,60000,7.5,Good
78,50.5,550,30,32,Tesla,74000,7.5,Good
76,49.5,580,33,35,BYD,59000,7,Good
75,50.0,600,36,33,LG,63000,7,Fair
72,49.2,650,36,36,Panasonic,71000,7,Fair
70,48.8,680,39,34,CATL,67000,6.5,Fair
68,49.5,700,42,37,Samsung,61000,6.5,Fair
65,48.5,750,42,35,Tesla,73000,6.5,Fair
63,49.0,780,45,38,BYD,57000,6,Fair
60,48.2,800,48,36,LG,62000,6,Fair
58,47.8,850,48,39,Panasonic,69000,6,Fair
55,48.5,880,51,37,CATL,65000,5.5,Fair
52,47.5,920,54,40,Samsung,59000,5.5,Fair
50,48.0,950,54,38,Tesla,72000,5,Fair
48,47.2,980,57,41,BYD,56000,5,Fair
45,46.8,1000,60,39,LG,61000,4.5,Fair
42,47.5,1050,60,42,Panasonic,68000,4.5,Fair
40,46.5,1100,63,40,CATL,64000,4,Poor
38,46.0,1150,66,43,Samsung,58000,4,Poor
35,46.8,1180,69,41,Tesla,71000,3.5,Poor
32,45.5,1220,72,44,BYD,55000,3.5,Poor
30,45.2,1250,72,42,LG,60000,3,Poor
28,45.8,1300,75,45,Panasonic,67000,3,Poor
25,44.8,1350,78,43,CATL,63000,2.5,Poor
22,44.5,1400,81,46,Samsung,57000,2.5,Poor
20,45.0,1450,84,44,Tesla,70000,2,Poor
18,44.2,1500,84,47,BYD,54000,2,Poor
15,43.8,1550,87,45,LG,59000,1.5,Poor
12,43.5,1600,90,48,Panasonic,66000,1.5,Poor
10,44.0,1650,93,46,CATL,62000,1,Poor
8,43.2,1700,96,49,Samsung,56000,1,Poor
95,52.3,280,15,29,Tesla,76000,9,Good
93,51.7,300,18,30,BYD,61000,9,Good
91,52.1,330,21,28,LG,66000,8.5,Good
89,51.3,360,24,31,Panasonic,71000,8.5,Good
86,50.9,390,27,30,CATL,67000,8,Good
84,50.6,420,30,32,Samsung,61000,8,Good
81,51.1,460,33,31,Tesla,75000,7.5,Good
79,49.9,490,36,33,BYD,59000,7.5,Good
77,50.3,530,39,34,LG,64000,7,Good
74,49.6,570,42,35,Panasonic,70000,7,Fair
71,49.3,610,45,36,CATL,66000,6.5,Fair
69,48.9,640,48,37,Samsung,60000,6.5,Fair
66,49.1,670,51,38,Tesla,74000,6.5,Fair
64,48.6,710,54,36,BYD,58000,6,Fair
61,48.3,740,57,39,LG,63000,6,Fair
59,47.9,770,60,37,Panasonic,69000,5.5,Fair
56,48.1,810,63,40,CATL,65000,5.5,Fair
53,47.6,840,66,38,Samsung,59000,5,Fair
51,47.3,870,69,41,Tesla,73000,5,Fair
49,46.9,900,72,39,BYD,57000,4.5,Fair
46,47.1,930,75,42,LG,62000,4.5,Fair
43,46.6,960,78,40,Panasonic,68000,4,Poor
41,46.3,990,81,43,CATL,64000,4,Poor
39,45.9,1020,84,41,Samsung,58000,3.5,Poor
36,46.2,1060,87,44,Tesla,72000,3.5,Poor
33,45.6,1090,90,42,BYD,56000,3,Poor
31,45.3,1120,93,45,LG,61000,3,Poor
29,44.9,1160,96,43,Panasonic,67000,2.5,Poor
26,44.6,1190,99,46,CATL,63000,2.5,Poor
23,44.3,1230,102,44,Samsung,57000,2,Poor
21,44.7,1270,105,47,Tesla,71000,2,Poor
19,44.1,1310,108,45,BYD,55000,1.5,Poor
16,43.7,1350,111,48,LG,60000,1.5,Poor
13,43.4,1390,114,46,Panasonic,66000,1,Poor
11,43.9,1430,117,49,CATL,62000,1,Poor
9,43.3,1470,120,47,Samsung,57000,0.5,Poor
